city,lat,temp,humidity,clouds,wind_speed
kaeo,-0.87,83.68,69,34,3.53
hasaki,60.42,68.2,39,36,11.27
talnakh,39.89,77,50,0,10.29
manokwari,-0.6,84.06,72,57,10.13
ust-maya,-4.45,81.1,43,24,1.72
mahon,-28.77,80.6,24,0,13.87
hithadhoo,-42.78,47.44,91,100,1.79
kasongo,5.88,75.2,94,40,4.76
geraldton,66.03,55.78,55,100,19.13
new norfolk,-23.12,73.69,78,100,14.25
buchanan,-8.26,71.6,78,3,3.36
inta,71.92,80.51,36,100,11.32
rikitea,78.22,37.4,86,75,10.29
conceicao do araguaia,-18.09,71.19,81,0,5.91
saskylakh,68.75,84.34,22,71,6.11
longyearbyen,-3.98,74.59,78,0,11.41
mucuri,14.9,74.3,82,4,10.36
cherskiy,50.68,43.99,86,100,16.98
papara,-33.93,59.41,87,75,14.99
sao filipe,29.11,81.1,50,0,13.69
severo-kurilsk,52.37,53.67,97,100,1.59
cape town,-21.37,72.07,65,20,23.04
awjilah,-7.96,80.06,83,92,8.03
rocky mountain house,-24.87,77,47,0,8.05
saint-joseph,10.57,78.8,94,90,6.93
kerema,22.29,88.86,66,39,17
carnarvon,-36.32,52,65,90,4.27
kavaratti,3.07,83.59,77,96,13.13
victoria,53.66,65.25,70,58,11.83
kyabram,41.28,63.36,93,90,4.7
butaritari,68.05,50.4,60,0,8.19
grand river south east,18.44,90.7,20,0,10.4
buguruslan,-16.48,78.42,85,99,20.8
nantucket,-21.36,71.96,65,20,23.04
ostrovnoy,-9.8,80.1,64,0,10.31
kidal,8.44,70.72,98,97,2.86
faanui,30.28,91.4,13,20,6.93
saint-philippe,32.33,75.2,15,0,9.17
atuona,57.79,51.8,81,90,12.75
koindu,16.07,98.6,44,20,8.05
kerman,65.28,59,100,90,6.93
shahr-e kord,69.45,34.12,92,100,7.99
kodiak,47.67,35.94,100,75,3.36
turan,-19.55,75.2,69,20,5.82
norman wells,6.82,75.09,100,40,2.91
brahmapuri,-0.74,68,96,97,9.51
tuktoyaktuk,-4.27,72.91,80,0,5.41
torbay,41.54,62.76,88,75,2.39
isangel,-8.77,81.41,75,100,4.65
yamoussoukro,52.05,74.21,74,92,9.24
tawkar,47.5,61.74,52,1,14.99
puerto ayora,17.42,88.84,64,100,2.13
piripiri,65.42,44.02,62,0,6.67
barcelos,-9.88,67.39,83,35,3.06
auki,52.63,57.2,93,90,3.36
mazyr,63.44,52.5,77,100,21.83
washington,-20.34,76.05,69,75,18.34
tabuk,-12.04,60.8,87,90,5.82
maniitsoq,34.69,82.47,54,75,11.41
alta floresta,9.35,70.3,67,57,16.26
warqla,62.46,64.9,39,20,13.87
rimbey,-22.97,72.93,85,0,8.97
vestmannaeyjar,77.48,37.85,73,94,5.08
bambous virieux,-38.55,42.01,86,0,4
lima,24.69,93.2,15,36,11.41
nara,51.68,73.18,42,100,7.11
jijiga,-16.62,60.44,79,16,10.51
yellowknife,55.22,54.57,87,75,8.95
arraial do cabo,70.47,30.2,100,1,3.36
qaanaaq,62.23,50,100,95,20.8
necochea,2.43,84.2,83,20,9.17
riyadh,-46.13,39,83,0,3
kyren,-30.3,60.37,87,40,6.93
camana,20.89,73.72,57,20,13.87
peski,32.81,77.4,83,20,11.41
clyde river,30.3,73.89,87,100,0.13
barentsburg,38.52,66.2,88,75,9.17
dzhusaly,-35.33,50.49,85,0,4.5
klaksvik,39.2,69.91,88,1,3.62
mersing,60.92,44.6,65,30,4.7
tuatapere,18.8,88.9,69,14,14.58
coffs harbour,25.52,87.6,69,17,5.17
kahului,-29.66,48.58,78,0,2.51
illoqqortoormiut,25.7,78.89,55,39,9.55
mineral wells,9.32,70.32,52,0,2.51
enshi,9.36,77.92,94,100,4.7
vaitupu,36.21,67.51,83,40,5.08
ribeira grande,15.17,74.66,22,0,4.29
constitucion,66.42,78.8,29,75,6.71
amberley,-5.56,65.35,83,15,10.11
narsaq,49.78,64.4,88,1,3.36
wanning,10.26,72.77,89,15,1.12
tura,54.67,69.8,83,82,6.71
springbok,-5.51,76.39,37,0,3.78
dali,15.85,81.27,75,98,2.73
deder,3.94,86.05,37,0,20.96
colon,-13.7,63.79,82,90,5.82
lebanon,40.16,59.99,87,0,3.83
sayyan,44.16,79.38,16,0,0.72
udachnyy,12.88,86.23,47,0,10.16
sechura,63.84,51.8,76,90,16.11
chapais,46.62,50,87,40,10.29
saleaula,-20.41,75.2,69,75,18.34
san joaquin,4.93,73.4,94,100,3.36
attawapiskat,40.62,82.6,49,3,23.47
svetlyy,-34,57.83,80,0,9.1
demba,49.92,56.55,57,98,11.72
puerto escondido,8.41,76.73,78,100,9.51
amderma,-38,49.1,93,1,8.5
mandera,42.25,62.6,88,1,4.7
pisco,65.75,86.9,22,0,14.79
lata,-41.87,40.89,100,20,9.17
zharkent,-7.12,73.65,81,0,11.52
nguru,11,89.11,63,89,9.73
grindavik,-6.25,69.94,68,0,7.9
lasa,43.52,64.47,78,95,3
mahebourg,6.12,91.4,66,75,13.87
cayenne,71.29,37.4,86,90,11.41
xingcheng,43.8,58.33,87,1,1.57
kruisfontein,67.45,87.4,25,100,5.57
maple creek,-22.47,48.2,15,0,25.28
ndele,58.81,56.66,95,91,2.39
mar del plata,42.8,85.68,16,100,5.23
broome,19.22,78.03,70,99,2.93
zyryanka,51.12,55.67,97,100,1.01
ancud,-39.2,52,91,83,1.99
bayeux,68.05,81.93,27,56,13.27
dingle,50.2,54.41,71,75,11.41
pimenteiras,61.95,64.76,48,80,8.21
naron,63.05,46.18,57,0,4.38
hambantota,48.65,41.54,82,100,2.26
barrow,-11.1,61.48,85,83,7.02
la crosse,40.8,58.96,100,99,5.75
srednekolymsk,39.05,65.14,92,0,14.56
calama,66.02,73.4,60,0,6.93
fort nelson,37.46,58.06,100,90,7.7
hami,57.05,51.8,76,90,3.36
san patricio,45.87,78.39,58,100,4.07
luban,65.58,54.07,47,0,11.1
okato,36.37,68,56,0,3.65
bilibino,-3.94,80.55,85,43,5.66
sept-iles,-32.55,70,45,0,4.74
evensk,46.19,57.65,93,90,5.82
beringovskiy,26.88,83.64,33,0,1.95
bonavista,13.22,80.6,88,75,18.34
tumannyy,64.89,52.77,74,100,10.33
hualmay,60.75,44.92,75,29,5.75
eureka,-8.13,83.1,73,100,9.53
lagoa,-5.2,71.6,94,0,4.7
sandnessjoen,-13.2,85.51,57,25,11.14
half moon bay,-0.45,85.39,41,45,26.24
sitka,52.27,66.74,29,9,7.61
voyinka,-0.95,85.08,68,91,6.55
lavrentiya,51.81,66.61,64,100,10.29
constantine,-28.78,63.95,58,0,3.58
kendari,56.45,41.77,98,99,9.82
mandurah,-23.13,71.6,60,40,8.05
astoria,47.91,66.2,63,75,11.18
mulege,28.47,66.6,82,40,13.87
bathsheba,5.97,86.61,70,76,15.46
olafsvik,35.24,99.27,8,0,7.29
haines junction,5.41,89.8,55,40,9.17
kanigoro,22.93,84.24,63,72,6.31
touros,7.77,64.67,88,23,4.05
ambilobe,53.52,58.5,80,95,3
garissa,25.38,84.13,88,40,2.42
klyuchi,-20.52,75.2,69,75,18.34
padang,28.66,71.6,64,75,13.87
dordrecht,42.16,65.16,88,1,2.44
richards bay,-30.18,66.09,86,0,7.81
ayan,69.22,37.4,93,100,8.05
yeppoon,29.46,77.77,88,1,6.93
astipalaia,-20.23,71.6,70,65,9.84
ulaanbaatar,-14.97,60.01,50,0,7.2
santa cruz de tenerife,-3.2,70.39,97,89,1.88
weligama,31.35,87.8,20,0,9.17
torbat-e jam,32.67,64.58,73,40,18.34
georgetown,35.13,75.4,65,100,12.26
lashio,-19.06,73.4,94,100,9.17
san cristobal,63.75,39.09,80,75,2.24
atherton,11.67,86.05,74,97,11.12
myitkyina,23.61,94.1,52,100,8.55
souillac,37.4,71.6,68,20,8.05
los llanos de aridane,37.1,77.74,11,1,9.17
palmer,-14.8,67.37,69,0,3.04
cidreira,65.68,57.2,54,100,17.22
marcona,38.42,62.01,75,0,1.99
ilulissat,-1.83,72.95,96,0,2.26
dickinson,28.37,77.9,88,75,9.17
poum,-22.12,59,56,0,3
kalabo,17.43,72.48,83,100,4.12
altamira,-20.78,81.59,26,0,13.65
marsa matruh,33.6,102.2,7,0,4.7
ponta do sol,54.48,61.39,65,98,11.83
katsuura,-23.7,62.6,25,0,9.17
alofi,32.66,81.68,18,1,8.05
iqaluit,-8.9,76.39,78,49,14.94
port blair,42.03,55,92,10,0.81
longhua,-32.72,55.74,93,66,6.93
wajima,10.38,86.14,73,87,4.5
barbar,-2.02,84.18,70,87,0.6
saint george,64.47,53.6,54,75,8.95
samalaeulu,64.5,59.56,82,90,5.82
nova olimpia,53.05,50,81,100,13.42
akureyri,-10.67,61.88,84,67,7.34
parras,53.6,50,93,75,11.18
tungkang,50.81,73.4,69,100,6.71
zafra,11.71,81.27,62,0,12.55
cururupu,45.8,74.19,79,100,8.5
naze,22.89,81,48,0,6.76
henties bay,-13.88,79.75,83,38,18.72
juxtlahuaca,42.43,63.68,88,95,14.54
roebourne,-3.67,83.37,73,48,3.11
tabas,64.57,79.14,24,47,4.36
oktyabrskiy,55.74,46.4,100,40,5.82
alice springs,-20.21,76.15,69,75,18.34
fortuna foothills,0.54,83.34,83,80,5.55
sao jose da coroa grande,31.61,77,68,0,6.91
vila,64.38,59.25,40,0,3
nelson bay,50.61,73.4,69,82,6.71
tumarbong,70.63,84.43,28,34,14.76
lorengau,45.46,70.32,73,40,11.18
uyemskiy,55.23,57.88,70,24,11.88
nome,46.82,54.09,91,69,2.84
petropavlovsk-kamchatskiy,42.78,64.99,85,100,5.01
saryshagan,32.52,80.6,61,40,5.82
paramonga,0.13,86.38,65,46,4
belyy yar,47.13,69.3,78,100,0.63
korocha,29.71,72.68,95,100,2.08
potiskum,11.78,81.45,79,100,17.54
jahrom,8.2,73.54,98,44,2.98
qitaihe,27.62,91.83,63,100,8.32
cabo san lucas,61.67,80.15,32,80,3.18
sola,14.4,93.31,19,0,5.93
khasan,-45.87,44.6,52,0,24.16
namatanai,47.17,42.35,80,34,5.46
ust-nera,50.1,57.2,100,90,8.95
tsihombe,-33.01,57.2,93,0,11.41
thompson,17.02,86,74,40,9.17
quatre cocos,10.93,88.02,70,20,9.24
gorontalo,33.19,68.59,70,1,4.65
gat,27.75,57.42,51,0,4.41
provideniya,-34.73,57.33,76,41,20.76
belgorod,-24.79,54.95,84,0,2.57
chokurdakh,-0.32,88.68,68,39,3.36
donskoye,30.48,61.57,88,49,10.18
gagino,20.5,93.43,15,6,13.04
alberton,-2.67,84.02,71,100,7.2
muros,-3.8,84.22,71,100,8.88
qesarya,54.17,76.39,39,98,3.89
bontang,37.57,66.2,45,40,5.82
nancha,-34.65,53.51,98,100,1.99
liyang,-12.74,65.7,79,6,3.44
manaure,-34.48,56.52,97,100,8.28
mabaruma,64.18,35.29,100,0,12.75
pingxiang,68.15,63.61,35,0,5.41
baykit,-3.37,83.25,77,97,1.83
kostenec,17.08,86.81,73,16,12.46
marzuq,-31.95,57.2,50,40,24.16
comodoro rivadavia,-33.87,60.8,41,0,6.93
marystown,32.69,73.4,69,75,6.93
tambovka,47.12,91.4,19,100,13.42
saldanha,-25.75,68.45,65,0,6.38
salalah,-14.41,67.96,64,0,6.17
phan thiet,-10.38,68.63,48,0,6.15
belushya guba,31.71,78.8,74,75,8.05
avera,50.08,53.15,93,100,10.38
creel,9.88,68.95,99,42,3.27
urfa,28.37,106.66,23,0,13.24
port lincoln,38.73,62.6,100,40,6.46
castro,32.3,68.61,81,0,17.18
japura,65.37,50.81,71,100,19.53
san quintin,43.21,62.92,79,99,7
adrar,69.41,55.4,54,77,17.9
straldza,47.42,90.79,27,100,5.32
vanimo,33.08,68,72,75,11.41
bengkulu,-0.72,78.8,83,90,11.41
ust-uda,55.17,53.38,79,100,9.48
yuksekova,51.26,48.2,100,90,4.7
samusu,-45.58,41,75,97,5.82
mercedes,48.98,48.47,85,97,11.39
vilhena,-5.09,65.41,83,0,10.02
rocha,26.56,82.4,39,0,4.7
nuuk,32.07,103.93,6,0,8.43
olenegorsk,45.52,61.11,82,90,3.36
nabire,30.42,68,82,75,5.82
dicabisagan,31.35,84.36,61,87,3.87
broken hill,-6.88,85.35,64,96,7.56
esperance,30.33,76.24,29,0,15.03
nizhneyansk,13.17,95,44,75,9.17
fukue,15.4,82.54,61,100,4.99
atyrau,-8.38,71.6,98,9,1.23
villarrica,54.2,62.6,59,87,15.66
diamantino,38.08,69.8,68,0,12.75
mwense,32.89,71.06,83,1,2.93
brownwood,-34.58,58.32,55,10,1.99
tyrma,39.74,68.54,39,100,22.82
gberia fotombu,51.38,61.97,79,100,11.99
pilani,51.02,75.76,62,8,10.89
praia da vitoria,70.37,48.74,72,100,7.16
asfi,55.93,66.79,40,44,8.23
muzhi,48.8,55.65,96,100,10.96
carballo,25.11,90.03,56,100,8.34
mrirt,17.49,95,15,100,6.93
dudinka,21.46,82.29,83,99,20.33
kharabali,69.38,49.44,61,50,9.57
camacha,50.78,75.18,59,7,9.98
port-gentil,4.14,85.08,70,100,7.49
tynda,-13.97,62.6,63,0,13.87
moose factory,20.79,73,57,40,10.29
coihaique,43.37,57.96,100,90,2.89
vakhrushev,14.92,75.2,78,20,6.93
paita,1.57,77,100,40,9.17
sohag,-4.97,82.54,36,1,2.77
sangin,6.48,84.7,78,100,13.85
portland,2.93,69.46,96,66,2.55
agadir,-6.28,66.2,77,75,4.7
nanlong,60.34,77.9,36,66,6.6
labuhan,54.77,45.37,90,100,5.39
nalut,55.1,48.2,87,75,0.67
manali,-3.43,74.79,86,89,8.55
linguere,22.68,98.24,10,0,6.53
pucallpa,-2.92,82.51,84,100,7.45
mullovka,29.04,87.17,79,100,1.48
ryotsu,-14.27,75.22,90,98,14.58
thomaston,37.02,91.71,28,23,9.28
flinders,37.57,90.16,55,0,11.41
jiuquan,50.72,65.73,46,100,8.59
margate,-29.95,50,93,8,5.82
krasnoarmeysk,-16.78,79.18,82,100,22.39
vardo,-22.96,61.9,25,0,6.93
esso,60.38,45.72,86,100,4.52
birobidzhan,11.28,80.94,83,89,10.98
longyan,19.62,64.99,90,67,0.81
najran,51.03,58.35,91,2,5.01
cockburn town,40.74,66.87,64,9,5.59
leningradskiy,-16.7,78.85,83,100,20.2
rovnoye,-34.67,53.55,93,90,13.87
meulaboh,23.02,97.93,43,32,14
lilongwe,10.37,80.6,88,75,9.17
kihei,5.66,73.81,94,89,2.71
coos bay,-23.65,57.2,76,90,2.24
praia,49.75,62.6,93,75,2.24
paradwip,-20.74,81.82,25,0,15.97
mbini,36.3,89.6,10,40,6.93
lusambo,25.04,79.12,57,75,22.37
phun phin,59.38,52.05,76,100,4.79
beruwala,4.92,75.09,78,0,7.23
sangmelima,44.3,74.68,25,0,5.61
ialibu,32.38,74.05,66,0,19.73
vanavara,16.86,80.98,76,100,6.02
flin flon,60.73,81.48,32,20,11.05
la ronge,-45.42,37.98,78,0,1.01
mayumba,-45.87,46.99,75,34,21
taoudenni,59.24,63.09,57,0,7.34
palembang,-0.03,88.52,59,92,2.77
yining,32.22,76.66,78,1,6.93
sambava,43.41,57.9,100,90,3.22
karaul,13.2,78.62,82,100,3.11
jiexiu,40.43,86,23,0,6.93
seoul,-6.22,82.15,80,71,7.47
solnechnyy,3.8,77,100,75,3.36
coquimbo,15.74,79,86,94,2.46
tevaitoa,38.42,64.9,72,1,3.36
walvis bay,13.6,92.12,11,0,6.06
teya,-15.2,74.62,36,0,8.93
bubaque,-5.32,87.8,70,40,9.17
cuitareo,-38.65,39.7,100,20,2.24
northam,-32.5,55.33,67,99,11.41
iskilip,39.18,70.83,88,1,3.67
fare,44.17,83.23,37,100,2.95
maldonado,32.95,76.01,54,0,7.47
halvad,-22.41,62.91,87,26,4.09
valparai,29.11,106.74,8,0,8.21
puerto ayacucho,-26.55,47.62,51,2,6.38
antofagasta,15.52,92.21,59,20,1.12
matagami,67.8,84.67,23,97,5.55
karratha,28.5,71.6,73,20,21.92
mashhad,-25.37,67.57,65,0,8.77
kunming,60.72,52.29,62,75,8.05
okhotsk,14.51,79.97,83,16,5.41
maridi,27.15,95,67,20,11.41
shihezi,11.03,82.4,88,10,13.87
misratah,50.63,41.14,81,100,5.14
acapulco,44.17,89.74,12,37,15.86
lensk,55.47,55.4,87,75,8.95
te anau,61.88,42.8,93,90,6.71
dunedin,-13.13,71.71,56,0,10.07
ossora,35.76,68.14,88,75,2.33
tlahualilo,5.75,68.88,73,60,6.15
pontianak,-10.07,61.27,86,20,7.34
azar shahr,-20.32,84.2,17,0,12.75
stephenville,25.26,85.77,75,0,14.88
north bend,34.67,71.49,78,75,10.29
gunjur,59.12,51.89,79,0,9.08
komsomolskiy,-8.65,84.2,83,20,19.46
kandrian,48.01,66.85,23,55,18.57
edea,44.17,93.61,9,0,6.49
pochutla,-13.47,58.51,57,0,5.55
laguna,65.53,50.67,88,100,12.03
umm kaddadah,62.67,74.35,42,100,4.43
namibe,71.04,51.87,58,100,4.16
galesong,26.33,89.6,29,0,17.22
vilcun,26.52,87.51,66,100,4.65
port augusta,42.12,95.83,23,0,13.69
hamilton,-12.28,77.56,84,76,23.17
terekli-mekteb,32.22,109.13,16,0,10.67
zaltan,-37.83,50,87,40,8.05
rio claro,-8.62,81.63,71,50,4.83
bam,7.42,92.17,50,100,2.73
umzimvubu,24.8,87.8,74,75,16.11
secunda,66.94,46.22,56,94,8.34
phayakkhaphum phisai,64.92,50,89,100,24.23
batagay-alyta,41.76,87.53,12,0,6.93
puerto del rosario,-10.98,58.87,60,0,7.4
doctor juan manuel frutos,37.47,66.2,55,0,1.12
whitehorse,-3.77,71.49,95,5,3.2
ocos,19.93,75.7,84,79,1.68
minab,61.28,78.22,38,90,5.03
la asuncion,0.39,77,83,40,9.17
ulagan,-7.95,83.59,73,97,15.61
shetpe,20.7,76.77,81,100,1.28
krasnyy tkach,-20.9,66.36,94,75,23.04
zelenets,52.7,71.51,31,66,4.79
montepuez,31.46,82.4,54,1,9.17
maryville,17.48,86.14,72,60,8.7
shakiso,5.89,83.95,76,96,17.52
huarmey,-13.46,59.49,56,0,6.6
port hedland,-8.01,80.6,57,11,9.17
pasni,70.07,64.4,45,94,9.17
shimoda,69.7,44.71,72,100,6.73
palana,50.68,73.4,69,82,6.71
denpasar,51.74,71.44,42,97,6.22
hovd,12.25,95,56,20,19.46
palabuhanratu,16.29,84.63,70,15,6.44
shieli,35.02,73.4,16,1,11.41
kalengwa,57.14,55.67,93,75,18.34
nadym,59.7,56.98,66,0,6.73
khandyga,60.4,57.2,87,0,19.46
mehamn,-31.63,60.35,90,99,4
buraydah,60.72,44.6,65,80,4.7
baisha,18.04,79.95,63,0,3.09
mujiayingzi,27.72,83.37,83,100,1.54
fomboni,-8.74,69.01,41,0,7.18
tank,33,77.86,55,100,5.41
mount gambier,-2.95,78.33,65,69,1.79
maumere,30.37,95.72,11,0,7.99
kalmunai,-38.27,51.3,85,95,7
hirara,-20.33,68.86,83,0,4.7
sisimiut,27.98,61.56,88,0,14.47
tarko-sale,54.23,49.87,77,100,4.59
korla,-22.4,63.36,82,100,4.36
sentyabrskiy,-24.13,58.95,31,1,4.61
likasi,38.28,70.72,83,40,12.75
cabra,18.65,79.57,76,0,2.84
sinkat,33.49,84.2,18,0,16.11
tucurui,-26.65,60.8,44,0,10.29
tomatlan,5.67,52.34,84,74,2.42
yerbogachen,15.45,94.42,38,20,20.62
libreville,-3.14,83.1,74,47,5.61
stoyba,-29.94,64.47,100,0,4.7
bambanglipuro,20.52,95.4,16,0,13.6
ixtapa,53.96,80.74,28,33,2.08
sainte-marie,-20.73,73.4,25,0,12.75
verkh-usugli,70.63,55.8,54,100,2.19
san angelo,-6.13,73.4,94,20,2.24
guhagar,-18.06,66.58,27,0,9.37
sabang,63.19,54.61,58,95,4.41
kasempa,-17.51,78.4,78,40,9.17
olinda,-25.24,64.4,18,0,6.93
vadso,59.36,58.46,87,75,5.82
pevek,66.32,59.97,40,0,4.41
severnyy,4.65,85.35,67,47,8.3
mogzon,-0.95,73.26,86,82,7.67
nha trang,18.35,88.63,60,66,7.85
catuday,4.38,77.54,87,99,8.3
fevralsk,68.82,64.4,39,67,4.47
winslow,20.2,97.83,9,5,6.96
aberdeen,63.2,58.35,61,58,13.38
arman,-31.39,64.17,99,22,10.56
brae,59.78,63.77,52,95,6.71
santa fe,-18.56,63.99,63,0,4
qaqortoq,-31.65,48.74,100,0,3.36
pedernales,66.83,53.42,63,84,12.06
tongren,-40.85,53.01,78,9,3
bury saint edmunds,69.41,64.4,45,83,9.17
kamina,-3.46,73.18,95,93,3.11
weihe,66.15,41.52,68,1,1.07
kindu,-23.88,61.18,32,0,3.89
loralai,-4.97,80.78,70,96,20.09
codrington,63.31,75.2,44,98,20.8
vila velha,-1.6,55.38,75,100,3.22
guerrero negro,47.87,58.69,33,43,16.42
burns lake,30.29,73.99,100,1,5.82
ihosy,24.19,78.82,62,81,12.71
aranos,57.64,63.97,88,34,12.75
siderno,-18.47,56.97,93,0,4.74
jeremie,7.32,75.63,93,64,1.28
khorramabad,18.73,77.52,78,97,3.04
luderitz,47.48,61,84,100,7.34
buariki,18.39,83.3,14,100,5.82
firavitoba,50.7,51.28,87,93,5.23
kassala,13.35,82.4,83,40,5.82
aitape,66.8,51.57,62,92,11.74
triunfo,60.14,40.77,80,100,2.93
atar,45.02,61.36,77,1,4.7
kachug,58.73,58.66,47,0,9.33
mount isa,39.36,65.66,88,5,8.99
batsfjord,55.34,52.5,71,90,6.93
soyo,53.68,58.71,66,100,8.37
